raw_rank,name,slug,parent,category,eth_tvl_usd,verdict,reason,github_orgs,audit_links,listed_at
291,3Jane Lending,3jane-lending,parent#3jane,Uncollateralized Lending,12423638,keep,,,https://docs.3jane.xyz/resources/audits,1756929047
292,Native Credit Pool,native-credit-pool,parent#native,Lending,11931464,keep,,,,1716459034
293,Veno Finance,veno-finance,,Liquid Staking,11912791,keep,,,https://veno-finance.gitbook.io/veno-finance/protocol/security-and-audits,1672703979
294,UNCX Network V3,uncx-network-v3,parent#uncx-network,Token Locker,11805872,review,sibling version of UNCX Network V2 (separate codebase?),,https://blog.openzeppelin.com/uncx-uniswapv3-liquidity-locker-audit,1688652343
295,zkLink Nova,zklink-nova,,Chain,11532199,drop,category Chain is not a DeFi protocol with its own contracts,,https://github.com/zkLinkProtocol/zklink-audit-report/blob/master/zklink_Nova_Secure3_Audit_Report.pdf,
296,Fuel Bridge,fuel-bridge,,Bridge,11485461,drop,category Bridge is not a DeFi protocol with its own contracts,,https://github.com/FuelLabs/audits/blob/master/fuel-audit-september-2024(Diffs%20on%20the%20Bridge%20and%20State%20Contracts)(Public).pdf,
297,Templar Protocol,templar-protocol,,Lending,11473189,keep,,Templar-Protocol,https://github.com/Templar-Protocol/contracts/blob/dev/audits/2025-07-01/guvenkaya/Templar-NEAR-Smart-Contract-Security-Review-Final-Report.pdf;https://github.com/Templar-Protocol/contracts/blob/dev/audits/2025-07-01/thesis_defense/250701_Defense_by_Thesis_Templar_Smart_Contracts_Final_Security.pdf,1755011603
298,OrangeX,orangex,,CEX,11219499,drop,category CEX is not a DeFi protocol with its own contracts,,,1744103517
299,Flying Tulip Lend,flying-tulip-lend,parent#flying-tulip,Lending,11193012,keep,,,https://docs.flyingtulip.com/risks/,1769459609
300,YieldFi,yieldfi,,Yield Aggregator,11189819,review,borderline category: Yield Aggregator,YieldFiLabs,https://docs.yield.fi/resources/audits,1736184965
